date,teacher,genre,song,city,venue
2025-06-02,雨橙,KPOP/MV,go hard,上海,Bounce瑞虹太阳宫
2025-06-03,Sassy,CHOREO,,上海,Caster杨浦创智
2025-06-04,47,KPOP/MV,Thunder - Seventeen,上海,Gsteps北外滩来福士
2025-06-05,kinki,HOUSE,,上海,Caster杨浦创智
2025-06-07,kinki,HOUSE,,上海,
2025-06-07,kinki,HOUSE,,上海,
2025-06-14,菲菲,KPOP/MV,,上海,Bounce瑞虹太阳宫
2025-06-15,俊腾,HIPHOP,,上海,BOUNCE曲阳
2025-06-15,俊腾,CHOREO,,上海,BOUNCE曲阳
2025-06-19,kinki,HOUSE,,上海,Caster杨浦创智
2025-06-21,菲菲,KPOP/MV,,上海,BOUNCE曲阳
2025-06-21,菲菲,KPOP/MV,,上海,BOUNCE曲阳
2025-06-21,kinki,HOUSE,,上海,
2025-06-21,kinki,HOUSE,,上海,
2025-07-13,可可2,KPOP/MV,h2h-style,北京,Gsteps国贸
2025-07-13,可可2,KPOP/MV,h2h-style,北京,Gsteps国贸
2025-07-20,可可2,KPOP/MV,supernatural开头,北京,Gsteps国贸
2025-07-20,可可2,KPOP/MV,supernatural开头,北京,Gsteps国贸
2025-07-26,暖暖,KPOP/MV,Illit-Jellyous,北京,Gsteps大钟寺
2025-07-26,暖暖,KPOP/MV,Illit-Jellyous,北京,Gsteps大钟寺
2025-07-27,可可2,KPOP/MV,Illit-Jellyous,北京,Gsteps国贸
2025-07-27,可可2,KPOP/MV,Illit-Jellyous,北京,Gsteps国贸
2025-08-02,艾伦,HOUSE,,北京,Gsteps大望路
2025-08-02,艾伦,HOUSE,,北京,Gsteps大望路
2025-08-03,唐不苦,KPOP/MV,impossible,北京,Gsteps安贞门
2025-08-03,唐不苦,KPOP/MV,impossible,北京,Gsteps安贞门
2025-08-10,小鱼,HOUSE,,北京,Gsteps崇文门
2025-08-10,小鱼,HOUSE,,北京,Gsteps崇文门
2025-08-24,小鱼,HOUSE,,北京,Gsteps崇文门
2025-08-24,小鱼,HOUSE,,北京,Gsteps崇文门
2025-09-11,Sassy,CHOREO,,上海,Caster虹口太阳宫店
2025-09-11,Venus,KPOP/MV,,上海,BOUNCE虹口太阳宫店
2025-09-14,佳桐,KPOP/MV,NewJeans - NewJeans,北京,Gsteps大望路
2025-09-14,佳桐,KPOP/MV,NewJeans - NewJeans,北京,Gsteps大望路
2025-09-21,唐不苦,KPOP/MV,riize - honestly,北京,Gsteps安贞门
